age,gender,bmi,activity_level,calories_to_maintain_weight
44,M,35.30520227916182,1.3,2432.9201000000003
12,M,14.808755369860904,1.5,1897.8195
33,F,27.652337642461863,1.7,2523.4307
16,F,20.654094552083627,1.5,2041.6095
31,M,28.122479023710216,1.3,2205.0613000000003
10,M,14.869356532979804,1.5,1798.458
20,M,21.712093924118708,1.9,2923.2165
50,M,36.05368342178333,1.2,2229.138
16,M,20.14942187131017,1.9,2831.6346
41,F,32.42133598245541,1.3,2039.0071000000005
31,F,28.115248361416825,1.3,1957.4958
11,M,19.523567862853163,1.2,1582.0272
21,M,21.545611723183544,1.3,1984.3928
37,F,31.563458777962083,1.3,2036.0457
52,F,36.42332532997672,1.7,2754.5508
16,F,21.1599358911596,1.3,1774.1334000000002
11,M,17.560889927547034,1.2,1552.5108
32,M,29.130750523197538,1.2,2074.344
22,F,23.837845369181974,1.5,2158.1505
12,M,17.164703510642155,1.7,2172.6867
44,M,35.44334566662125,1.3,2441.3896
41,M,32.551807519568044,1.2,2150.7348
43,M,34.270722289654955,1.3,2394.1697000000004
31,M,27.938906200226075,1.5,2537.673
12,F,19.1554154569676,1.9,2447.2703
18,M,21.71385524477137,1.3,2017.3426
77,M,36.85906643759487,1.2,2044.4568
31,M,28.879606594015616,1.3,2241.9007
27,M,25.44956898322364,1.3,2116.3636
28,M,25.275541615728606,1.5,2421.9375
12,F,23.20916084521629,1.7,2164.4179
26,F,25.031849738203253,1.5,2174.6715
18,F,21.352488600517923,1.3,1812.9293
43,M,34.64158730214764,1.2,2224.0368
42,F,35.28751761137529,1.7,2784.2413
45,F,33.43108244667283,1.3,2048.3398
23,F,22.95335461455597,1.7,2398.3294
32,M,28.38571237463565,1.2,2039.712
45,M,34.66241798504548,1.3,2393.0764
14,F,19.66595323967332,1.5,2034.6795
6,M,12.294581400337044,1.7,1653.3502999999998
27,M,24.94404001079972,1.5,2410.3815
22,M,22.80262662535091,1.3,2035.7987
81,M,37.02612355846127,1.2,2021.31
43,F,33.47566393471302,1.3,2060.3765
16,F,19.72561747536877,1.5,2030.8785000000005
13,F,18.145962187731826,1.5,1923.6735
79,F,36.18816898219294,1.2,1785.0696
43,M,34.15004543687737,1.5,2753.2935
9,F,16.198204150331254,1.7,1796.4104
19,M,21.775788425260306,1.9,2939.4805
12,F,18.29754171366321,1.5,1882.137
32,M,28.575093272270603,1.2,2050.134
19,M,21.33395352565692,1.9,2909.4927999999995
15,F,19.110901027220173,1.5,1976.6895
44,F,33.84145748030393,1.5,2385.279
3,M,21.228821259082935,1.7,1219.4287
4,F,16.34177810601731,1.7,1660.6144
15,F,20.878791551061543,1.2,1637.9712000000002
15,M,18.692112005948164,1.7,2404.259
7,F,17.01978940521203,1.5,1557.6045
14,F,20.353919903495957,1.3,1768.1482
10,F,16.616847528091427,1.5,1842.366
19,M,21.51795511798817,1.7,2615.7917
19,M,21.78426816601915,1.3,2009.5452
14,F,20.51452533126525,1.5,2037.579
44,M,34.75353250547014,1.5,2776.746
3,F,10.891824780191028,1.9,1790.4289
43,M,34.894330447966574,1.2,2237.3556
19,M,21.54976250687042,1.3,1999.4637
12,M,17.41084071554621,1.9,2453.0273
32,M,28.005164624383973,1.5,2527.6980000000003
18,F,21.4882110715118,1.7,2376.481
21,M,21.80158611878316,1.2,1839.6756
33,F,27.81213529517493,1.5,2231.3835
11,F,18.09894610697064,1.3,1653.9757
20,F,21.403666266409623,1.7,2355.9943
40,F,32.29295669879502,1.3,2040.4683
39,F,32.502549528316365,1.5,2370.261
28,F,24.95597714124189,1.7,2446.606
27,M,25.248607784880463,1.3,2108.1879
12,F,21.03612513126369,1.7,2164.3465
18,M,21.344179866147517,1.7,2616.2762
19,M,21.32765271662419,1.3,1988.8648
31,M,27.49635443023028,1.3,2174.2656
44,F,33.41399648748177,1.5,2370.216
20,F,21.628057622323816,1.9,2643.8044
25,M,23.314253515027588,1.3,2031.8168
40,M,32.386993488866786,1.2,2150.3424
7,M,16.08747087810678,1.9,1944.3194
40,F,32.544251793859445,1.5,2366.949
28,F,25.365114373619534,1.7,2465.221
16,M,21.31118467146317,1.5,2247.3015
62,F,36.38115729791675,1.3,2042.2064000000005
15,F,20.33923030248303,1.9,2564.8632
16,F,18.584523491309785,1.7,2236.9246
14,M,19.73184244458357,1.5,2189.6145
32,F,28.331691792518544,1.2,1806.2748
27,M,25.054159415571835,1.5,2421.8085
14,F,20.03529201149329,1.9,2573.7685
12,M,16.19581375707615,1.9,2437.2668
35,M,30.63681997970225,1.2,2114.67
19,M,21.326630328591083,1.9,2908.9969
40,F,32.60479555342317,1.5,2366.8365000000003
19,M,21.30516736292048,1.9,2907.9139
25,F,23.15945196646976,1.3,1828.9635
24,M,23.23682242276077,1.5,2350.839
20,F,21.70044973365362,1.7,2369.8799
36,M,30.95544180520761,1.2,2119.842
15,F,20.46243246249449,1.2,1634.5104
32,F,27.715931586535262,1.9,2830.4547
26,M,25.225111667599407,1.3,2111.3755
41,F,32.442905100240694,1.3,2038.1439000000005
21,M,21.78157165079324,1.2,1838.718
45,F,34.59819494719864,1.5,2408.4210000000003
31,F,28.118869433180294,1.3,1957.5803
27,F,25.37859864426988,1.7,2470.5352000000003
17,M,19.250051506060792,1.7,2447.3013
7,F,13.28154693439308,1.7,1797.2264
11,M,15.551185263065788,1.2,1531.848
35,F,30.81566753489477,1.3,2022.8455
73,M,35.71694403062735,1.5,2535.471
